* S              X              Y              PX             PY            
$ %e             %e             %e             %e             %e            
@ XIY              %e   -1.13265    
@ XIX              %e   -.346562    
@ QY               %e    3.05845    
@ QX               %e    3.01049    
@ CIRCUM           %le     8.58029589751    
@ DELTA            %e    0.00000    
@ TYPE             %08s "OPTICS"
@ COMMENT          %32s "merge - Created With MADInput"
@ ORIGIN           %28s "MAD 8.23dl  Windows NT 4.0"
@ DATE             %08s "27/04/18"
@ TIME             %08s "11.26.00"
     0.00000        0.00000        0.00000        0.00000        0.00000    
     0.00000        0.00000        0.00000        0.00000        0.00000    
    0.465000        0.00000        0.00000        0.00000        0.00000    
    0.473242        0.00000        0.00000        0.00000        0.00000    
    0.696095      -0.180676        0.00000       -1.59054        0.00000    
    0.704337      -0.193785        0.00000       -1.59054        0.00000    
    0.704337      -0.193785        0.00000       -1.59054        0.00000    
    0.999654      -0.663498        0.00000       -1.59054        0.00000    
     1.15675      -0.913372        0.00000       -1.59054        0.00000    
     1.19120      -0.968166        0.00000       -1.59054        0.00000    
     1.28520       -1.11768        0.00000       -1.59054        0.00000    
     1.30320       -1.14631        0.00000       -1.59054        0.00000    
     1.30320       -1.14631        0.00000       -1.59054        0.00000    
     1.50320       -1.46442        0.00000       -1.59054        0.00000    
     1.50320       -1.46442        0.00000       -1.59054        0.00000    
     1.67466       -1.73712        0.00000       -1.59054        0.00000    
     1.67466       -1.73712        0.00000       -1.59054        0.00000    
     1.76832       -1.88609        0.00000       -1.59054        0.00000    
     1.76832       -1.88609        0.00000       -1.59054        0.00000    
     1.80320       -1.94158        0.00000       -1.59054        0.00000    
     2.02381       -2.28774        0.00000       -1.59014        0.00000    
     2.02381       -2.28774        0.00000       -1.59014        0.00000    
     2.27381       -2.68528        0.00000       -1.59014        0.00000    
     2.27381       -2.68528        0.00000       -1.59014        0.00000    
     2.27381       -2.68528        0.00000       -1.59014        0.00000    
     2.47381       -3.00330        0.00000       -1.59014        0.00000    
     2.47381       -3.00330        0.00000       -1.59014        0.00000    
     2.47381       -3.00330        0.00000       -1.59014        0.00000    
     2.47681       -3.00807        0.00000       -1.59014        0.00000    
     2.47681       -3.00807        0.00000       -1.59014        0.00000    
     2.57081       -3.15755        0.00000       -1.59014        0.00000    
     2.57081       -3.15755        0.00000       -1.59014        0.00000    
     2.65208       -3.28678        0.00000       -1.59014        0.00000    
     2.65208       -3.28678        0.00000       -1.59014        0.00000    
     2.65208       -3.28678        0.00000       -1.59014        0.00000    
     2.65208       -3.28678        0.00000       -1.59014        0.00000    
     2.68697       -3.34226        0.00000       -1.59014        0.00000    
