* S              BETX           BETY           DX             NAME            
$ %e             %e             %e             %e             %16s            
@ XIY              %e   -.118682    
@ XIX              %e   0.433549E-01
@ QY               %e    2.97407    
@ QX               %e    2.33312    
@ CIRCUM           %le     19.7857999207    
@ DELTA            %e    0.00000    
@ TYPE             %08s "OPTICS"
@ COMMENT          %04s " "
@ ORIGIN           %28s "MAD 8.23dl  Windows NT 4.0"
@ DATE             %08s "09/04/18"
@ TIME             %08s "15.17.50"
     0.00000        1.41373        12.1149        0.00000     "LAT"           
     0.00000        1.41373        12.1149        0.00000     "LINE_1"        
     0.00000        1.41373        12.1149        0.00000     "LA_MAR_BEG_1"  
    0.180902        1.32801        10.6442        0.00000     "LA_PAD01_1_1"  
    0.180902        1.32801        10.6442        0.00000     "COLLIMATOR_N1" 
    0.180902        1.32801        10.6442        0.00000     "IB1BPC03_1"    
    0.335902        1.29487        9.46427        0.00000     "LA_PAD01_1_2"  
    0.335902        1.29487        9.46427        0.00000     "COLLIMATOR_N2" 
    0.335902        1.29487        9.46427        0.00000     "LA_CRMOD_MA1007
    0.335902        1.29487        9.46427        0.00000     "COLLIMATOR_N3" 
    0.359252        1.29310        9.29294        0.00000     "LA_FLA01_1"    
    0.359252        1.29310        9.29294        0.00000     "COLLIMATOR_N4" 
    0.359252        1.29310        9.29294        0.00000     "LA_MAR_BEG_1008
    0.677170        1.35297        7.12756        0.00000     "LA_PIP01_1"    
    0.677170        1.35297        7.12756        0.00000     "COLLIMATOR_N5" 
    0.752170        1.38991        6.66216        0.00000     "LA_GAT01_1"    
    0.752170        1.38991        6.66216        0.00000     "COLLIMATOR_N6" 
    0.892170        1.48215        5.83981        0.00000     "LA_TAP01_1"    
    0.892170        1.48215        5.83981        0.00000     "COLLIMATOR_N7" 
     1.01217        1.58536        5.18305        0.00000     "LA_HOM01_1"    
     1.01217        1.58536        5.18305        0.00000     "COLLIMATOR_N8" 
     1.07323        1.64643        4.86589        0.00000     "LA_PIP02_1"    
     1.07323        1.64643        4.86589        0.00000     "COLLIMATOR_N9" 
     1.15696        1.73957        4.44969        0.00000     "LA_PIP03_1"    
     1.15696        1.73957        4.44969        0.00000     "COLLIMATOR_N10"
     2.15696        3.27272       0.889312        0.00000     "LA_CAV01_1"    
     2.24070        3.43861       0.753197        0.00000     "LA_PIP04_1"    
     2.24070        3.43861       0.753197        0.00000     "COLLIMATOR_N11"
     2.30220        3.56573       0.671360        0.00000     "LA_PIP05_1"    
     2.30220        3.56573       0.671360        0.00000     "COLLIMATOR_N12"
     2.42220        3.82664       0.555911        0.00000     "LA_HOM02_1"    
     2.42220        3.82664       0.555911        0.00000     "COLLIMATOR_N13"
     2.48370        3.96694       0.519414        0.00000     "LA_PIP06_1"    
     2.48370        3.96694       0.519414        0.00000     "COLLIMATOR_N14"
     2.56743        4.16515       0.494420        0.00000     "LA_PIP07_1"    
     2.56743        4.16515       0.494420        0.00000     "COLLIMATOR_N15"
     3.56743        6.89157        2.34812        0.00000     "LA_CAV02_1"    
     3.65116        7.14870        2.68011        0.00000     "LA_PIP08_1"    
     3.65116        7.14870        2.68011        0.00000     "COLLIMATOR_N16"
     3.71266        7.34183        2.94149        0.00000     "LA_PIP09_1"    
     3.71266        7.34183        2.94149        0.00000     "COLLIMATOR_N17"
     3.83266        7.72910        3.49427        0.00000     "LA_HOM03_1"    
     3.83266        7.72910        3.49427        0.00000     "COLLIMATOR_N18"
     3.89416        7.93291        3.79949        0.00000     "LA_PIP10_1"    
     3.89416        7.93291        3.79949        0.00000     "COLLIMATOR_N19"
